Version : 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business (Information required for Style Creation/Legal Compliance/Order Tracking),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discoverability - Attributes required for Product Description and Cataloguing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sizing - Mandatory Measurements,,,,,,,,,,,,Imagery - Mandatory Image Angles,,,,,,
styleId,styleGroupId,vendorSkuCode,vendorArticleNumber,vendorArticleName,brand,Manufacturer Name and Address with Pincode,Packer Name and Address with Pincode,Importer Name and Address with Pincode,Country Of Origin,Country Of Origin2,Country Of Origin3,Country Of Origin4,Country Of Origin5,articleType,Brand Size,Standard Size,is Standard Size present on Label,Brand Colour (Remarks),GTIN,HSN,SKUCode,MRP,AgeGroup,Prominent Colour,Second Prominent Colour,Third Prominent Colour,FashionType,Usage,Year,season,Product Details,styleNote,materialCareDescription,sizeAndFitDescription,productDisplayName,tags,addedDate,Color Variant GroupId,Occasion,Sleeve Length,Neck,Top Fabric,Bottom Fabric,Top Type,Bottom Type,Top Pattern,Bottom Pattern,Bottom Closure,Add-Ons,Wash Care,Character,Lining,Number of Pockets,Trends,Sustainable,Number of Items,Top Closure,Collection Name,Package Contains,BIS Expiry Date,BIS Certificate Image URL,BIS Certificate Number,Across Shoulder ( Inches ),Bust ( Inches ),Chest ( Inches ),Front Length ( Inches ),Garment Waist ( Inches ),Inseam Length ( Inches ),Outseam Length ( Inches ),Rise ( Inches ),Sleeve-Length ( Inches ),To Fit Bust ( Inches ),To Fit Hip ( Inches ),To Fit Waist ( Inches ),Front Image,Side Image,Back Image,Detail Angle,Look Shot Image,Additional Image 1,Additional Image 2
5086,CO05BE5086,CO05BE5086S,CO05BE5086S,Zummer Embroidered Tunic and Trouser Lounge wear,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,S,S,Yes,Beige,,62041919,CO05BE5086,#ERROR!,Adults-Women,Beige,Cream,Off White,Fashion,Smart Casual,2025,Summer,Zummer Embroidered Tunic and Trouser Lounge wear,,100% Rayon,,Zummer Embroidered Tunic and Trouser Lounge wear,,,,Casual,Short Sleeves,Round Neck,Viscose Rayon,Viscose Rayon,Tunic,Trousers,Embroidered,Solid,Slip-On,NA,Dry Clean,NA,NA,1,Pastels,Regular,2,NA,,Set Of  Tunic With Trouser,,,,14,36,36,28,36,28,38,12,13,34,38,28,,,,,,,
5086,CO05BE5086,CO05BE5086M,CO05BE5086M,Zummer Embroidered Tunic and Trouser Lounge wear,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,M,M,Yes,Beige,,62041919,CO05BE5086,#ERROR!,Adults-Women,Beige,Cream,Off White,Fashion,Smart Casual,2025,Summer,Zummer Embroidered Tunic and Trouser Lounge wear,,100% Rayon,,Zummer Embroidered Tunic and Trouser Lounge wear,,,,Casual,Short Sleeves,Round Neck,Viscose Rayon,Viscose Rayon,Tunic,Trousers,Embroidered,Solid,Slip-On,NA,Dry Clean,NA,NA,1,Pastels,Regular,2,NA,,Set Of  Tunic With Trouser,,,,14.5,38,38,28,38,28,38,12,13,36,40,30,,,,,,,
5086,CO05BE5086,CO05BE5086L,CO05BE5086L,Zummer Embroidered Tunic and Trouser Lounge wear,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,L,L,Yes,Beige,,62041919,CO05BE5086,#ERROR!,Adults-Women,Beige,Cream,Off White,Fashion,Smart Casual,2025,Summer,Zummer Embroidered Tunic and Trouser Lounge wear,,100% Rayon,,Zummer Embroidered Tunic and Trouser Lounge wear,,,,Casual,Short Sleeves,Round Neck,Viscose Rayon,Viscose Rayon,Tunic,Trousers,Embroidered,Solid,Slip-On,NA,Dry Clean,NA,NA,1,Pastels,Regular,2,NA,,Set Of  Tunic With Trouser,,,,15,40,40,28,40,28,38,12,13,38,42,32,,,,,,,
5086,CO05BE5086,CO05BE5086XL,CO05BE5086XL,Zummer Embroidered Tunic and Trouser Lounge wear,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,XL,XL,Yes,Beige,,62041919,CO05BE5086,#ERROR!,Adults-Women,Beige,Cream,Off White,Fashion,Smart Casual,2025,Summer,Zummer Embroidered Tunic and Trouser Lounge wear,,100% Rayon,,Zummer Embroidered Tunic and Trouser Lounge wear,,,,Casual,Short Sleeves,Round Neck,Viscose Rayon,Viscose Rayon,Tunic,Trousers,Embroidered,Solid,Slip-On,NA,Dry Clean,NA,NA,1,Pastels,Regular,2,NA,,Set Of  Tunic With Trouser,,,,15.5,42,42,28,42,28,38,12,13,40,44,34,,,,,,,
5087,CO00MV5087,CO00MV5087S,CO00MV5087S,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,S,S,Yes,Mauve,,62041919,CO00MV5087,#ERROR!,Adults-Women,Mauve,Brown,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Three-Quarter Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Dry Clean,NA,Has a lining,1,Pastels,Regular,2,Button,,Set Of  Shirt With Trouser,,,,14,36,36,22,36,28,38,12,17,34,38,28,,,,,,,
5087,CO00MV5087,CO00MV5087M,CO00MV5087M,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,M,M,Yes,Mauve,,62041919,CO00MV5087,#ERROR!,Adults-Women,Mauve,Brown,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Three-Quarter Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Dry Clean,NA,Has a lining,1,Pastels,Regular,2,Button,,Set Of  Shirt With Trouser,,,,14.5,38,38,22,38,28,38,12,17,36,40,30,,,,,,,
5087,CO00MV5087,CO00MV5087L,CO00MV5087L,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,L,L,Yes,Mauve,,62041919,CO00MV5087,#ERROR!,Adults-Women,Mauve,Brown,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Three-Quarter Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Dry Clean,NA,Has a lining,1,Pastels,Regular,2,Button,,Set Of  Shirt With Trouser,,,,15,40,40,22,40,28,38,12,17,38,42,32,,,,,,,
5087,CO00MV5087,CO00MV5087XL,CO00MV5087XL,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,XL,XL,Yes,Mauve,,62041919,CO00MV5087,#ERROR!,Adults-Women,Mauve,Brown,White,Fashion,Travel,2025,Summer,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,100% Cotton,,Zummer Floral Embroidered Shirt With Trouser Co-Ords Set,,,,Casual,Three-Quarter Sleeves,Shirt Collar,Pure Cotton,Pure Cotton,Shirt,Trousers,Embroidered,Embroidered,Slip-On,NA,Dry Clean,NA,Has a lining,1,Pastels,Regular,2,Button,,Set Of  Shirt With Trouser,,,,15.5,42,42,22,42,28,38,12,17,40,44,34,,,,,,,
5088,CO05BK5088,CO05BK5088S,CO05BK5088S,Zummer Black Rayon Applique Round Neck Tunic With Trouser,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,S,S,Yes,Black,,62041919,CO05BK5088,#ERROR!,Adults-Women,Black,Charcoal,Grey,Fashion,Smart Casual,2025,Summer,Zummer Black Rayon Applique Round Neck Tunic With Trouser,,100% Rayon,,Zummer Black Rayon Applique Round Neck Tunic With Trouser,,,,Casual,Three-Quarter Sleeves,Round Neck,Viscose Rayon,Viscose Rayon,Tunic,Trousers,Embellished,Embellished,Drawstring,NA,Dry Clean,NA,Has a lining,1,Lace Bows Frills and Ruffles,Regular,2,NA,,Set Of Tunic With Trouser,,,,14,36,36,28,36,28,38,12,17,34,38,28,,,,,,,
5088,CO05BK5088,CO05BK5088M,CO05BK5088M,Zummer Black Rayon Applique Round Neck Tunic With Trouser,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Co-Ords,M,M,Yes,Black,,62041919,CO05BK5088,#ERROR!,Adults-Women,Black,Charcoal,Grey,Fashion,Smart Casual,2025,Summer,Zummer Black Rayon Applique Round Neck Tunic With Trouser,,100% Rayon,,Zummer Black Rayon Applique Round Neck Tunic With Trouser,,,,Casual,Three-Quarter Sleeves,Round Neck,Viscose Rayon,Viscose Rayon,Tunic,Trousers,Embellished,Embellished,Drawstring,NA,Dry Clean,NA,Has a lining,1,Lace Bows Frills and Ruffles,Regular,2,NA,,Set Of Tunic With Trouser,,,,14.5,38,38,28,38,28,38,12,17,36,40,30,,,,,,,
