Version : 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business (Information required for Style Creation/Legal Compliance/Order Tracking),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discoverability - Attributes required for Product Description and Cataloguing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sizing - Mandatory Measurements,,,,,,,,Imagery - Mandatory Image Angles,,,,,,
styleId,styleGroupId,vendorSkuCode,vendorArticleNumber,vendorArticleName,brand,Manufacturer Name and Address with Pincode,Packer Name and Address with Pincode,Importer Name and Address with Pincode,Country Of Origin,Country Of Origin2,Country Of Origin3,Country Of Origin4,Country Of Origin5,articleType,Brand Size,Standard Size,is Standard Size present on Label,Brand Colour (Remarks),GTIN,HSN,SKUCode,MRP,AgeGroup,Prominent Colour,Second Prominent Colour,Third Prominent Colour,FashionType,Usage,Year,season,Product Details,styleNote,materialCareDescription,sizeAndFitDescription,productDisplayName,tags,addedDate,Color Variant GroupId,Fabric,Collar,Sleeve Length,Sleeve Styling,Pattern,Fit,Occasion,Weave Pattern,Fabric 2,Brand Fit Name,Surface Styling,Length,Hemline,Placket,Print or Pattern Type,Main Trend,Wash Care,Placket Length,Cuff,Transparency,Pocket Type,Body or Garment Size,Number of Pockets,Stitch,Add-Ons,Sustainable,Character,Number of Items,Features,Net Quantity Unit,Theme,Contact Brand or Retailer for pre-sales product queries,Where-to-wear,Style Tip,Collection Name,Package Contains,BIS Expiry Date,BIS Certificate Image URL,BIS Certificate Number,Net Quantity,Across Shoulder ( Inches ),Bust ( Inches ),Chest ( Inches ),Front Length ( Inches ),Sleeve-Length ( Inches ),To Fit Bust ( Inches ),To Fit Waist ( Inches ),Waist ( Inches ),Front Image,Side Image,Back Image,Detail Angle,Look Shot Image,Additional Image 1,Additional Image 2
5023,SH00OW5023,SH00OW5023XS,SH00OW5023XS,Zummer Cotton Off White Floral Print Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,XS,XS,Yes,Off White,,61062010,SH00OW5023,2199,Adults-Women,Off White,White,Pink,Fashion,Travel,2025,Summer,Zummer Cotton Off White Floral Print Shirt,,100% Cotton,,,,,,Cotton,Club Collar,Short Sleeves,Regular Sleeves,Printed,Regular Fit,Casual,Regular,NA,Comfort,NA,Regular,Straight,Button Placket,Floral,Floral Print,Machine Wash,Full,No Cuff,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,13.5,34,34,21,10,32,26,23,,,,,,,
5023,SH00OW5023,SH00OW5023S,SH00OW5023S,Zummer Cotton Off White Floral Print Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,S,S,Yes,Off White,,61062010,SH00OW5023,2199,Adults-Women,Off White,White,Pink,Fashion,Travel,2025,Summer,Zummer Cotton Off White Floral Print Shirt,,100% Cotton,,,,,,Cotton,Club Collar,Short Sleeves,Regular Sleeves,Printed,Regular Fit,Casual,Regular,NA,Comfort,NA,Regular,Straight,Button Placket,Floral,Floral Print,Machine Wash,Full,No Cuff,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,14,36,36,21,10,34,28,25,,,,,,,
5023,SH00OW5023,SH00OW5023M,SH00OW5023M,Zummer Cotton Off White Floral Print Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,M,M,Yes,Off White,,61062010,SH00OW5023,2199,Adults-Women,Off White,White,Pink,Fashion,Travel,2025,Summer,Zummer Cotton Off White Floral Print Shirt,,100% Cotton,,,,,,Cotton,Club Collar,Short Sleeves,Regular Sleeves,Printed,Regular Fit,Casual,Regular,NA,Comfort,NA,Regular,Straight,Button Placket,Floral,Floral Print,Machine Wash,Full,No Cuff,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,14.5,38,38,21.5,10.5,36,30,27,,,,,,,
5023,SH00OW5023,SH00OW5023L,SH00OW5023L,Zummer Cotton Off White Floral Print Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,L,L,Yes,Off White,,61062010,SH00OW5023,2199,Adults-Women,Off White,White,Pink,Fashion,Travel,2025,Summer,Zummer Cotton Off White Floral Print Shirt,,100% Cotton,,,,,,Cotton,Club Collar,Short Sleeves,Regular Sleeves,Printed,Regular Fit,Casual,Regular,NA,Comfort,NA,Regular,Straight,Button Placket,Floral,Floral Print,Machine Wash,Full,No Cuff,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,15,40,40,21.5,10.5,38,32,29,,,,,,,
5023,SH00OW5023,SH00OW5023XL,SH00OW5023XL,Zummer Cotton Off White Floral Print Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,XL,XL,Yes,Off White,,61062010,SH00OW5023,2199,Adults-Women,Off White,White,Pink,Fashion,Travel,2025,Summer,Zummer Cotton Off White Floral Print Shirt,,100% Cotton,,,,,,Cotton,Club Collar,Short Sleeves,Regular Sleeves,Printed,Regular Fit,Casual,Regular,NA,Comfort,NA,Regular,Straight,Button Placket,Floral,Floral Print,Machine Wash,Full,No Cuff,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,15.5,42,42,22,11,40,34,31,,,,,,,
5187,SH00WH5187,SH00WH5187M,SH00WH5187M,Zummer Cotton White Floral Embroidered Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,M,M,Yes,White,,61062010,SH00WH5187,3299,Adults-Women,White,Off White,Black,Fashion,Smart Casual,2025,Summer,Zummer Cotton White Floral Embroidered Shirt,,100% Cotton,,,,,,Cotton,Spread Collar,Three-Quarter Sleeves,Kimono Sleeves,Solid,Regular Fit,Semiformal,Regular,NA,Smart,Embroidered,Regular,Curved,Button Placket,Floral,New Basics,Dry Clean,Full,French,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,,52,52,28,18,36,30,27,,,,,,,
5187,SH00WH5187,SH00WH5187L,SH00WH5187L,Zummer Cotton White Floral Embroidered Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,L,L,Yes,White,,61062010,SH00WH5187,3299,Adults-Women,White,Off White,Black,Fashion,Smart Casual,2025,Summer,Zummer Cotton White Floral Embroidered Shirt,,100% Cotton,,,,,,Cotton,Spread Collar,Three-Quarter Sleeves,Kimono Sleeves,Solid,Regular Fit,Semiformal,Regular,NA,Smart,Embroidered,Regular,Curved,Button Placket,Floral,New Basics,Dry Clean,Full,French,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,,54,54,28,18,38,32,29,,,,,,,
5187,SH00WH5187,SH00WH5187XL,SH00WH5187XL,Zummer Cotton White Floral Embroidered Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,XL,XL,Yes,White,,61062010,SH00WH5187,3299,Adults-Women,White,Off White,Black,Fashion,Smart Casual,2025,Summer,Zummer Cotton White Floral Embroidered Shirt,,100% Cotton,,,,,,Cotton,Spread Collar,Three-Quarter Sleeves,Kimono Sleeves,Solid,Regular Fit,Semiformal,Regular,NA,Smart,Embroidered,Regular,Curved,Button Placket,Floral,New Basics,Dry Clean,Full,French,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,,56,56,28,18,40,34,31,,,,,,,
5187,SH00WH5187,SH00WH5187XXL,SH00WH5187XXL,Zummer Cotton White Floral Embroidered Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,XXL,XXL,Yes,White,,61062010,SH00WH5187,3299,Adults-Women,White,Off White,Black,Fashion,Smart Casual,2025,Summer,Zummer Cotton White Floral Embroidered Shirt,,100% Cotton,,,,,,Cotton,Spread Collar,Three-Quarter Sleeves,Kimono Sleeves,Solid,Regular Fit,Semiformal,Regular,NA,Smart,Embroidered,Regular,Curved,Button Placket,Floral,New Basics,Dry Clean,Full,French,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,,58,58,28,18,42,36,33,,,,,,,
5037,SH00WH5037,SH00WH5037S,SH00WH5037S,Zummer Cotton White Embroidered Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,S,S,Yes,White,,61062010,SH00WH5037,3099,Adults-Women,White,Off White,Black,Fashion,Smart Casual,2025,Summer,Zummer Cotton White Embroidered Shirt,,100% Cotton,,,,,,Cotton,Spread Collar,Long Sleeves,Regular Sleeves,Solid,Regular Fit,Semiformal,Regular,NA,Smart,Embroidered,Regular,Curved,Button Placket,Graphic,New Basics,Dry Clean,Full,Button,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,14,36,36,28,20,34,28,25,,,,,,,
5037,SH00WH5037,SH00WH5037M,SH00WH5037M,Zummer Cotton White Embroidered Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,M,M,Yes,White,,61062010,SH00WH5037,3099,Adults-Women,White,Off White,Black,Fashion,Smart Casual,2025,Summer,Zummer Cotton White Embroidered Shirt,,100% Cotton,,,,,,Cotton,Spread Collar,Long Sleeves,Regular Sleeves,Solid,Regular Fit,Semiformal,Regular,NA,Smart,Embroidered,Regular,Curved,Button Placket,Graphic,New Basics,Dry Clean,Full,Button,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,14.5,38,38,28,20,36,30,27,,,,,,,
5037,SH00WH5037,SH00WH5037L,SH00WH5037L,Zummer Cotton White Embroidered Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,L,L,Yes,White,,61062010,SH00WH5037,3099,Adults-Women,White,Off White,Black,Fashion,Smart Casual,2025,Summer,Zummer Cotton White Embroidered Shirt,,100% Cotton,,,,,,Cotton,Spread Collar,Long Sleeves,Regular Sleeves,Solid,Regular Fit,Semiformal,Regular,NA,Smart,Embroidered,Regular,Curved,Button Placket,Graphic,New Basics,Dry Clean,Full,Button,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,15,40,40,28,20,38,32,29,,,,,,,
5037,SH00WH5037,SH00WH5037XL,SH00WH5037XL,Zummer Cotton White Embroidered Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,XL,XL,Yes,White,,61062010,SH00WH5037,3099,Adults-Women,White,Off White,Black,Fashion,Smart Casual,2025,Summer,Zummer Cotton White Embroidered Shirt,,100% Cotton,,,,,,Cotton,Spread Collar,Long Sleeves,Regular Sleeves,Solid,Regular Fit,Semiformal,Regular,NA,Smart,Embroidered,Regular,Curved,Button Placket,Graphic,New Basics,Dry Clean,Full,Button,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,15.5,42,42,28,20,40,34,31,,,,,,,
5186,SH00BK5186,SH00BK5186M,SH00BK5186M,Zummer Cotton Black Embroidered Shirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Shirts,M,M,Yes,Black,,61062010,SH00BK5186,3299,Adults-Women,Black,Charcoal,Off White,Fashion,Smart Casual,2025,Summer,Zummer Cotton Black Embroidered Shirt,,100% Cotton,,,,,,Cotton,Spread Collar,Long Sleeves,Regular Sleeves,Solid,Oversized,Casual,Regular,NA,Relaxed,Embroidered,Regular,Straight,Button Placket,Floral,New Basics,Dry Clean,Full,Button,Opaque,NA,Garment Measurements in,NA,Ready to Wear,NA,Regular,NA,1,NA,,NA,,,,,1 Shirt,,,,,17,48,48,28,20,34,28,25,,,,,,,
