Version : 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business (Information required for Style Creation/Legal Compliance/Order Tracking),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discoverability - Attributes required for Product Description and Cataloguing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sizing - Mandatory Measurements,,,,,,,,Imagery - Mandatory Image Angles,,,,,,
styleId,styleGroupId,vendorSkuCode,vendorArticleNumber,vendorArticleName,brand,Manufacturer Name and Address with Pincode,Packer Name and Address with Pincode,Importer Name and Address with Pincode,Country Of Origin,Country Of Origin2,Country Of Origin3,Country Of Origin4,Country Of Origin5,articleType,Brand Size,Standard Size,is Standard Size present on Label,Brand Colour (Remarks),GTIN,HSN,SKUCode,MRP,AgeGroup,Prominent Colour,Second Prominent Colour,Third Prominent Colour,FashionType,Usage,Year,season,Product Details,styleNote,materialCareDescription,sizeAndFitDescription,productDisplayName,tags,addedDate,Color Variant GroupId,Fabric,Neck,Sleeve Length,Pattern,Occasion,Weave Type,Surface Styling,Transparency,Type,Print or Pattern Type,Sleeve Styling,Main Trend,Wash Care,Body or Garment Size,taxMaterial,Lining,Closure,Length,Fabric Type,Center Front Open,Sustainable,Character,Multipack Set,Number of Items,Contact Brand or Retailer for pre-sales product queries,Where-to-wear,Style Tip,Care for me,Collection Name,Package Contains,BIS Expiry Date,BIS Certificate Image URL,BIS Certificate Number,Bust ( Inches ),Chest ( Inches ),Front Length ( Inches ),Across Shoulder ( Inches ),Sleeve-Length ( Inches ),To Fit Bust ( Inches ),To Fit Waist ( Inches ),Waist ( Inches ),Front Image,Side Image,Back Image,Detail Angle,Look Shot Image,Additional Image 1,Additional Image 2
5185,TP00BK5185,TP00BK5185M,TP00BK5185M,Zummer Cotton Black Colourblocked Tunic ,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,M,M,Yes,Black,,61142000,TP00BK5185,2199,Adults-Women,Black,Charcoal,White,Fashion,Smart Casual,2025,Summer,Zummer Cotton Black Colourblocked Tunic ,,100% Cotton,,,,,,Cotton,Mandarin Collar,Three-Quarter Sleeves,Colourblocked,Casual,Woven,,,,,Cuffed Sleeves,,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,,,,NA,1,,,,,,1 Top,,,,40,40,28,14,17,36,30,27,,,,,,,
5185,TP00BK5185,TP00BK5185L,TP00BK5185L,Zummer Cotton Black Colourblocked Tunic ,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,L,L,Yes,Black,,61142000,TP00BK5185,2199,Adults-Women,Black,Charcoal,White,Fashion,Smart Casual,2025,Summer,Zummer Cotton Black Colourblocked Tunic ,,100% Cotton,,,,,,Cotton,Mandarin Collar,Three-Quarter Sleeves,Colourblocked,Casual,Woven,,,,,Cuffed Sleeves,,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,,,,NA,1,,,,,,1 Top,,,,42,42,28,14.5,17,38,32,29,,,,,,,
5185,TP00BK5185,TP00BK5185XL,TP00BK5185XL,Zummer Cotton Black Colourblocked Tunic ,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,XL,XL,Yes,Black,,61142000,TP00BK5185,2199,Adults-Women,Black,Charcoal,White,Fashion,Smart Casual,2025,Summer,Zummer Cotton Black Colourblocked Tunic ,,100% Cotton,,,,,,Cotton,Mandarin Collar,Three-Quarter Sleeves,Colourblocked,Casual,Woven,,,,,Cuffed Sleeves,,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,,,,NA,1,,,,,,1 Top,,,,44,44,28,15,17,40,34,31,,,,,,,
5185,TP00BK5185,TP00BK5185XXL,TP00BK5185XXL,Zummer Cotton Black Colourblocked Tunic ,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,XXL,XXL,Yes,Black,,61142000,TP00BK5185,2199,Adults-Women,Black,Charcoal,White,Fashion,Smart Casual,2025,Summer,Zummer Cotton Black Colourblocked Tunic ,,100% Cotton,,,,,,Cotton,Mandarin Collar,Three-Quarter Sleeves,Colourblocked,Casual,Woven,,,,,Cuffed Sleeves,,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,,,,NA,1,,,,,,1 Top,,,,46,46,28,15.5,17,42,36,33,,,,,,,
1020,TP04BK1020,TP04BK1020XS,TP04BK1020XS,Black Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,XS,XS,Yes,Black,,61142000,TP04BK1020,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,28,28,22.5,12,7.75,32,26,24,,,,,,,
1020,TP04BK1020,TP04BK1020S,TP04BK1020S,Black Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,S,S,Yes,Black,,61142000,TP04BK1020,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,30,30,23,12.5,8,34,28,26,,,,,,,
1020,TP04BK1020,TP04BK1020M,TP04BK1020M,Black Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,M,M,Yes,Black,,61142000,TP04BK1020,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,32,32,23.5,13,8.25,36,30,28,,,,,,,
1020,TP04BK1020,TP04BK1020L,TP04BK1020L,Black Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,L,L,Yes,Black,,61142000,TP04BK1020,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,34,34,24,13.5,8.5,38,32,30,,,,,,,
1020,TP04BK1020,TP04BK1020XL,TP04BK1020XL,Black Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,XL,XL,Yes,Black,,61142000,TP04BK1020,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,36,36,24.5,14,8.75,40,34,32,,,,,,,
1020,TP04BK1020,TP04BK1020XXL,TP04BK1020XXL,Black Rib Polo Neck Tshirt,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Tops,XXL,XXL,Yes,Black,,61142000,TP04BK1020,2199,Adults-Women,Black,,,Fashion,Casual,2025,Summer,Black Rib Polo Neck Tshirt,,60% Cotton 40% Polyester,,,,,,Cotton Blend,Shirt Collar,Short Sleeves,Solid,Casual,Knitted,NA,Opaque,Fitted,Ribbed,Regular Sleeves,Knits,Machine Wash,Garment Measurements in,,NA,Button,Regular,Cotton,No,,,NA,1,,,,,,1 Polo Neck Tshirt,,,,38,38,25,14.5,9,42,36,34,,,,,,,
