Version : 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business (Information required for Style Creation/Legal Compliance/Order Tracking),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discoverability - Attributes required for Product Description and Cataloguing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sizing - Mandatory Measurements,,,,,,,,Imagery - Mandatory Image Angles,,,,,,
styleId,styleGroupId,vendorSkuCode,vendorArticleNumber,vendorArticleName,brand,Manufacturer Name and Address with Pincode,Packer Name and Address with Pincode,Importer Name and Address with Pincode,Country Of Origin,Country Of Origin2,Country Of Origin3,Country Of Origin4,Country Of Origin5,articleType,Brand Size,Standard Size,is Standard Size present on Label,Brand Colour (Remarks),GTIN,HSN,SKUCode,MRP,AgeGroup,Prominent Colour,Second Prominent Colour,Third Prominent Colour,FashionType,Usage,Year,season,Product Details,styleNote,materialCareDescription,sizeAndFitDescription,productDisplayName,tags,addedDate,Color Variant GroupId,Fabric,Occasion,Type,Length,Pattern,Fit,Brand Fit Name,Fabric 2,Waist Rise,Closure,Print or Pattern Type,Main Trend,Wash Care,Fly Type,Features,Number of Pockets,Add-Ons,Weave Type,Type of Pleat,Body or Garment Size,Sustainable,Character,Multipack Set,Number of Items,Contact Brand or Retailer for pre-sales product queries,Where-to-wear,Style Tip,Care for me,Collection Name,Package Contains,BIS Expiry Date,BIS Certificate Image URL,BIS Certificate Number,Garment Waist ( Inches ),Inseam Length ( Inches ),To Fit Waist ( Inches ),Hips ( Inches ),Outseam Length ( Inches ),Rise ( Inches ),Thigh ( Inches ),To Fit Hip ( Inches ),Front Image,Side Image,Back Image,Detail Angle,Look Shot Image,Additional Image 1,Additional Image 2
1135,TR06BK1135,TR06BK1135XS,TR06BK1135XS,Black Knitted Front Pintuck Straight Pants,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,XS,XS,Yes,Black,,52113240,TR06BK1135,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Knitted Front Pintuck Straight Pants,,95% Polyester 5% Spandex,,Black Knitted Front Pintuck Straight Pants,,,,Polyester,Casual,Korean Pants,Regular,Solid,Straight Fit,NA,Elastane,High-Rise,Button,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Straight Pants,,,,25,25,26,34,41,12,22.5,36,,,,,,,
1135,TR06BK1135,TR06BK1135S,TR06BK1135S,Black Knitted Front Pintuck Straight Pants,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,S,S,Yes,Black,,52113240,TR06BK1135,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Knitted Front Pintuck Straight Pants,,95% Polyester 5% Spandex,,Black Knitted Front Pintuck Straight Pants,,,,Polyester,Casual,Korean Pants,Regular,Solid,Straight Fit,NA,Elastane,High-Rise,Button,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Straight Pants,,,,27,26,28,36,41,12.5,23.5,38,,,,,,,
1135,TR06BK1135,TR06BK1135M,TR06BK1135M,Black Knitted Front Pintuck Straight Pants,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,M,M,Yes,Black,,52113240,TR06BK1135,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Knitted Front Pintuck Straight Pants,,95% Polyester 5% Spandex,,Black Knitted Front Pintuck Straight Pants,,,,Polyester,Casual,Korean Pants,Regular,Solid,Straight Fit,NA,Elastane,High-Rise,Button,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Straight Pants,,,,29,27,30,38,41,13,24.5,40,,,,,,,
1135,TR06BK1135,TR06BK1135L,TR06BK1135L,Black Knitted Front Pintuck Straight Pants,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,L,L,Yes,Black,,52113240,TR06BK1135,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Knitted Front Pintuck Straight Pants,,95% Polyester 5% Spandex,,Black Knitted Front Pintuck Straight Pants,,,,Polyester,Casual,Korean Pants,Regular,Solid,Straight Fit,NA,Elastane,High-Rise,Button,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Straight Pants,,,,31,28,32,40,41,13.5,25.5,42,,,,,,,
1135,TR06BK1135,TR06BK1135XL,TR06BK1135XL,Black Knitted Front Pintuck Straight Pants,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,XL,XL,Yes,Black,,52113240,TR06BK1135,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Knitted Front Pintuck Straight Pants,,95% Polyester 5% Spandex,,Black Knitted Front Pintuck Straight Pants,,,,Polyester,Casual,Korean Pants,Regular,Solid,Straight Fit,NA,Elastane,High-Rise,Button,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Straight Pants,,,,33,29,34,42,41,14,26.5,44,,,,,,,
1135,TR06BK1135,TR06BK1135XXL,TR06BK1135XXL,Black Knitted Front Pintuck Straight Pants,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,XXL,XXL,Yes,Black,,52113240,TR06BK1135,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Knitted Front Pintuck Straight Pants,,95% Polyester 5% Spandex,,Black Knitted Front Pintuck Straight Pants,,,,Polyester,Casual,Korean Pants,Regular,Solid,Straight Fit,NA,Elastane,High-Rise,Button,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Straight Pants,,,,35,30,36,44,41,14.5,27.5,46,,,,,,,
1129,TR06BK1129,TR06BK1129XS,TR06BK1129XS,Black Roma Bellbottom Trousers,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,XS,XS,Yes,Black,,52113240,TR06BK1129,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Roma Bellbottom Jeggings,,65% Nylon 30% Rayon 5% Spandex,,Black Roma Bellbottom Jeggings,,,,Nylon,Casual,Bootcut Trousers,Slip-On,Solid,Slim Fit,NA,Viscose Rayon,Mid-Rise,Slip-On,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Bellbottom Pants,,,,24,31,26,31,41,12,19,36,,,,,,,
1129,TR06BK1129,TR06BK1129S,TR06BK1129S,Black Roma Bellbottom Trousers,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,S,S,Yes,Black,,52113240,TR06BK1129,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Roma Bellbottom Jeggings,,65% Nylon 30% Rayon 5% Spandex,,Black Roma Bellbottom Jeggings,,,,Nylon,Casual,Bootcut Trousers,Slip-On,Solid,Slim Fit,NA,Viscose Rayon,Mid-Rise,Slip-On,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Bellbottom Pants,,,,26,30.5,28,33,41,12.5,20,38,,,,,,,
1129,TR06BK1129,TR06BK1129M,TR06BK1129M,Black Roma Bellbottom Trousers,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,M,M,Yes,Black,,52113240,TR06BK1129,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Roma Bellbottom Jeggings,,65% Nylon 30% Rayon 5% Spandex,,Black Roma Bellbottom Jeggings,,,,Nylon,Casual,Bootcut Trousers,Slip-On,Solid,Slim Fit,NA,Viscose Rayon,Mid-Rise,Slip-On,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Bellbottom Pants,,,,28,30,30,35,41,13,21,40,,,,,,,
1129,TR06BK1129,TR06BK1129L,TR06BK1129L,Black Roma Bellbottom Trousers,ZUMMER,"Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010","Zummer International Private Limited, B-4033, Aashirwad Textile Market, Opp. Landmark  Empires, Puna Khumbhariya, Near Tata Showroom, Magob, Surat, Gujarat 395010",,India,,,,,Trousers,L,L,Yes,Black,,52113240,TR06BK1129,2799,Adults-Women,Black,Black,NA,Fashion,Casual,2025,Summer,Black Roma Bellbottom Jeggings,,65% Nylon 30% Rayon 5% Spandex,,Black Roma Bellbottom Jeggings,,,,Nylon,Casual,Bootcut Trousers,Slip-On,Solid,Slim Fit,NA,Viscose Rayon,Mid-Rise,Slip-On,Solid,New Basics,Machine Wash,No Fly,Easy Wash,NA,NA,Knitted,Flat-Front,Garment Measurements in,Regular,NA,NA,1,,,,Machine Wash,,1 Bellbottom Pants,,,,30,29.5,32,37,41,13.5,22,42,,,,,,,
