Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
productdisplayname,productDisplayName,,Zummer,Apparel & Accessories > Clothing,Articletype,,true,Size,standard size,vendorSkuCode,400,shopify,50,deny,manual,,,true,true,active
beige-embroidered-short-tiered-dress,Beige Embroidered Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00CR5001S,400,shopify,50,deny,manual,3099,,true,true,active
beige-embroidered-short-tiered-dress,Beige Embroidered Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00CR5001M,400,shopify,50,deny,manual,3099,,true,true,
beige-embroidered-short-tiered-dress,Beige Embroidered Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00CR5001L,400,shopify,50,deny,manual,3099,,true,true,
beige-embroidered-short-tiered-dress,Beige Embroidered Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00CR5001XL,400,shopify,50,deny,manual,3099,,true,true,
beige-embroidered-short-tiered-dress,Beige Embroidered Short Tiered Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,2xl,DS00CR5001XXL,400,shopify,50,deny,manual,3099,,true,true,
olive-green-embroidered-midi-dress,Olive Green Embroidered midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,s,DS00OL5007S,400,shopify,50,deny,manual,6199,,true,true,active
olive-green-embroidered-midi-dress,Olive Green Embroidered midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00OL5007M,400,shopify,50,deny,manual,6199,,true,true,
olive-green-embroidered-midi-dress,Olive Green Embroidered midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00OL5007L,400,shopify,50,deny,manual,6199,,true,true,
olive-green-embroidered-midi-dress,Olive Green Embroidered midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00OL5007XL,400,shopify,50,deny,manual,6199,,true,true,
olive-green-embroidered-midi-dress,Olive Green Embroidered midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,2xl,DS00OL5007XXL,400,shopify,50,deny,manual,6199,,true,true,
